origem,destino,distancia_km,bloqueada
0,5,21.1,0
0,7,14.8,0
0,10,10.3,0
0,11,19.2,1
0,12,27.2,0
1,2,25.1,0
1,4,34.8,0
1,9,23.2,0
2,4,40.7,1
2,5,23.0,0
2,9,16.1,1
2,10,27.7,0
2,20,30.0,0
3,7,20.4,1
3,11,18.6,0
3,14,26.9,0
3,17,24.5,0
3,19,18.3,0
4,20,32.7,0
5,8,35.4,0
5,18,28.2,0
5,20,23.6,0
6,10,17.2,0
6,11,12.0,0
6,13,28.2,0
6,15,25.7,0
7,11,16.4,0
7,12,16.5,0
8,18,17.0,1
8,20,29.7,0
9,10,19.9,0
9,15,19.8,0
9,16,44.0,0
11,13,36.3,0
11,14,27.9,0
12,17,27.9,0
12,18,28.6,0
13,14,19.5,0
13,16,38.3,0
14,19,31.4,0
15,16,22.2,1
17,19,27.0,0
